uid,D11,D22,D33,max_offdiag,phi,seconds
451,0.595161,0.390577,0.390614,9.938e-04,0.630832,3.38
452,0.576242,0.367622,0.367661,4.453e-04,0.613046,2.97
453,0.538344,0.325375,0.325364,2.569e-04,0.577637,3.24
456,0.825286,0.825259,0.743838,1.831e-04,0.875543,3.72
457,0.796834,0.796762,0.695136,2.519e-04,0.854818,3.76
458,0.747439,0.747452,0.640306,1.243e-04,0.821506,3.64
459,0.700541,0.700546,0.604090,4.089e-05,0.788249,3.63
454,0.486588,0.273313,0.273332,3.719e-04,0.524812,2.91
455,0.456987,0.251231,0.251232,5.553e-05,0.495343,2.60
480,0.562616,0.562616,0.562616,5.559e-04,0.891479,0.64
481,0.517727,0.517727,0.517727,7.570e-04,0.842293,0.61
482,0.500532,0.500530,0.500520,1.018e-03,0.821949,0.61
483,0.464704,0.464705,0.464707,8.780e-05,0.780460,0.59
460,0.647189,0.647135,0.526980,5.657e-04,0.745931,3.54
461,0.613273,0.613276,0.470000,5.507e-05,0.715495,3.24
484,0.425571,0.425569,0.425550,1.930e-04,0.733063,0.66
485,0.404236,0.404229,0.404328,1.971e-04,0.707153,0.63
486,0.365867,0.365740,0.365779,1.057e-04,0.665375,0.65
487,0.347756,0.347746,0.347835,5.019e-04,0.643646,0.61
488,0.320364,0.320364,0.320364,5.148e-16,0.593750,0.35
489,0.309395,0.309399,0.309390,6.775e-04,0.580109,0.50
462,0.573495,0.573538,0.426495,1.757e-04,0.683006,3.32
463,0.524842,0.524842,0.379098,5.853e-04,0.640607,3.01
490,0.280495,0.280500,0.280542,8.391e-04,0.544800,0.45
491,0.241641,0.241638,0.241610,4.799e-05,0.493256,0.42
492,0.542916,0.542915,0.542908,1.872e-04,0.871368,0.64
493,0.523144,0.523145,0.523145,2.556e-04,0.848359,0.47
494,0.482705,0.482705,0.482701,4.482e-04,0.803084,0.54
495,0.469968,0.469969,0.469970,9.801e-04,0.786466,0.56
464,0.487172,0.487135,0.356056,5.092e-04,0.610424,2.89
465,0.449656,0.449655,0.312920,1.773e-04,0.575042,2.81
466,0.401105,0.401100,0.267267,3.860e-05,0.528944,2.67
467,0.366656,0.366653,0.234933,5.628e-04,0.495687,2.55
468,0.865397,0.813197,0.721533,3.249e-05,0.882849,3.92
469,0.811254,0.751280,0.619401,1.079e-05,0.837574,3.91
496,0.438824,0.438822,0.438809,8.673e-04,0.754113,0.57
497,0.397615,0.397614,0.397608,7.189e-03,0.701715,0.59
498,0.371960,0.371963,0.371967,2.240e-03,0.663814,0.60
499,0.336918,0.336911,0.336864,1.284e-03,0.627205,0.54
470,0.790115,0.719780,0.589039,1.214e-16,0.819444,3.35
471,0.753970,0.671260,0.533679,2.121e-05,0.786097,3.58
502,0.273703,0.273703,0.273695,9.110e-04,0.523071,0.47
503,0.250374,0.250375,0.250341,1.210e-03,0.495605,0.62
500,0.323212,0.323211,0.323207,4.412e-04,0.597866,0.57
501,0.302358,0.302357,0.302376,1.081e-03,0.572979,0.65
504,0.680063,0.680063,0.273395,1.863e-04,0.871447,0.61
505,0.655013,0.655013,0.258803,1.296e-03,0.845754,0.53
506,0.626426,0.626426,0.243005,1.421e-04,0.817130,0.65
507,0.575169,0.575169,0.215227,3.232e-04,0.766176,0.70
472,0.703201,0.610228,0.448353,2.931e-05,0.738724,3.62
473,0.674319,0.579774,0.406331,6.695e-04,0.712900,3.62
508,0.553292,0.553292,0.204994,1.412e-03,0.742676,0.72
509,0.524799,0.524798,0.189862,2.791e-04,0.715023,0.62
510,0.480565,0.480565,0.173430,1.678e-04,0.665771,0.83
511,0.460207,0.460310,0.163601,4.432e-04,0.643402,0.75
512,0.413353,0.413379,0.139416,5.363e-04,0.603516,0.74
513,0.380880,0.380866,0.127113,1.145e-04,0.563446,0.66
514,0.364059,0.364097,0.119745,1.580e-03,0.545166,0.72
515,0.320099,0.319986,0.101965,3.497e-04,0.493744,0.67
518,0.689921,0.394430,0.394430,1.737e-04,0.817693,0.69
519,0.657719,0.367915,0.367915,4.610e-04,0.785215,0.63
516,0.757380,0.449551,0.449551,3.774e-04,0.885376,0.65
517,0.721449,0.418799,0.418799,4.047e-04,0.849125,0.57
474,0.633940,0.532634,0.351729,1.384e-04,0.674470,3.43
475,0.584849,0.471389,0.295948,1.875e-04,0.627197,3.36
520,0.603055,0.328800,0.328798,1.218e-03,0.730584,0.67
521,0.583704,0.318139,0.318140,1.039e-04,0.711363,0.61
522,0.535918,0.282386,0.282386,3.845e-04,0.663483,0.62
523,0.511751,0.269296,0.269296,1.002e-04,0.635979,0.69
524,0.492852,0.269200,0.269200,1.727e-04,0.609589,0.59
525,0.436140,0.214848,0.214848,4.591e-05,0.563507,0.69
526,0.412862,0.199266,0.199256,9.811e-05,0.543427,0.58
527,0.382905,0.173213,0.173211,1.275e-04,0.492737,0.69
476,0.556703,0.448046,0.278263,1.351e-05,0.603317,3.14
477,0.520319,0.408086,0.238703,3.525e-05,0.566913,2.91
478,0.494673,0.383038,0.216460,1.569e-05,0.542444,2.64
479,0.450859,0.336779,0.181224,3.101e-04,0.498942,2.58
528,0.763740,0.763740,0.162596,6.094e-04,0.888184,4.01
529,0.709734,0.709734,0.142677,5.828e-05,0.837097,4.15
540,0.808969,0.438026,0.438026,1.191e-05,0.874176,3.73
541,0.776920,0.381096,0.381096,4.410e-05,0.846985,3.84
530,0.677322,0.677322,0.131932,3.511e-04,0.806851,4.37
531,0.642382,0.642381,0.120963,3.326e-04,0.774550,4.59
532,0.622135,0.622135,0.115504,4.536e-05,0.753699,4.80
533,0.582247,0.582247,0.104350,2.057e-04,0.716750,5.71
542,0.728636,0.344969,0.344969,6.279e-04,0.799164,4.05
543,0.696103,0.322098,0.322098,7.639e-05,0.766205,3.86
534,0.523098,0.523107,0.090355,3.007e-05,0.661585,5.52
535,0.503097,0.503099,0.084716,9.173e-05,0.642985,5.45
536,0.466656,0.466656,0.076229,1.068e-04,0.607241,5.18
537,0.436658,0.436659,0.069541,7.609e-05,0.577953,4.98
544,0.665337,0.300685,0.300685,1.100e-04,0.735878,4.11
545,0.628804,0.273073,0.273073,3.181e-05,0.698795,3.78
538,0.388043,0.388043,0.059228,5.101e-05,0.528501,4.49
539,0.360270,0.360256,0.053947,1.472e-04,0.498888,3.83
546,0.605249,0.258103,0.258103,2.276e-03,0.674970,4.51
547,0.572573,0.239744,0.239744,1.395e-03,0.643945,4.34
548,0.523363,0.211871,0.211871,1.275e-03,0.600324,4.97
549,0.490353,0.193404,0.193403,1.882e-04,0.562211,5.02
550,0.462417,0.165178,0.165178,7.772e-06,0.535192,5.30
551,0.423527,0.154715,0.154715,1.465e-04,0.495334,4.30
552,0.701295,0.701295,0.516852,2.020e-04,0.891602,3.77
553,0.595191,0.595191,0.360653,6.350e-05,0.842407,3.91
577,0.753576,0.753576,0.753752,7.072e-05,0.843567,0.61
554,0.556834,0.556834,0.330851,1.681e-03,0.801392,4.08
555,0.538207,0.538207,0.318081,1.564e-03,0.780396,4.25
578,0.701370,0.701204,0.701243,8.054e-05,0.809845,0.73
579,0.656044,0.655864,0.656199,2.804e-05,0.776764,0.58
556,0.501339,0.501339,0.291874,1.066e-03,0.740082,4.16
557,0.475868,0.475866,0.272889,3.942e-04,0.712076,4.17
580,0.612117,0.612117,0.612117,2.222e-07,0.744385,0.50
581,0.571761,0.571761,0.571761,9.282e-05,0.713989,0.42
558,0.440286,0.440286,0.249403,1.396e-04,0.673332,4.62
559,0.420713,0.420712,0.237580,1.847e-04,0.648404,5.19
582,0.517726,0.517806,0.517726,4.266e-04,0.671265,0.50
583,0.471510,0.471510,0.471592,9.327e-05,0.632080,0.39
560,0.376599,0.376599,0.208721,8.742e-05,0.597421,4.43
561,0.358058,0.358059,0.199826,4.753e-04,0.573712,4.61
584,0.445134,0.445161,0.445134,5.707e-05,0.608093,0.37
585,0.385786,0.385786,0.385786,7.085e-05,0.557068,0.37
564,0.796346,0.578150,0.312029,3.173e-04,0.884094,4.22
565,0.743362,0.519210,0.260499,1.816e-04,0.833984,4.25
586,0.356476,0.356476,0.356527,1.131e-04,0.526245,0.38
587,0.341903,0.341887,0.341903,1.591e-04,0.511597,0.42
566,0.712397,0.492278,0.243941,2.277e-04,0.804077,4.38
567,0.684331,0.466384,0.228864,1.085e-03,0.776603,4.18
